iter	Logloss
0	0.693088461
1	0.6930493763
2	0.6929825248
3	0.6926209664
4	0.6922592308
5	0.6916482239
6	0.6913684841
7	0.6913134169
8	0.6912633981
9	0.6907725188
10	0.6902405061
11	0.6900716576
12	0.6898623593
13	0.6897978062
14	0.6894359303
15	0.6893590974
16	0.6893010722
17	0.6892439411
18	0.6887121822
19	0.6884215276
20	0.6882078397
21	0.6880551276
22	0.687707231
23	0.6875317715
24	0.6874714297
25	0.6870950787
26	0.6868206484
27	0.6864047351
28	0.6861043473
29	0.6858283397
30	0.6855914049
31	0.6852652861
32	0.6849352995
33	0.6848529821
34	0.6845373918
35	0.6844817375
36	0.6844208649
37	0.6843750421
38	0.6841420589
39	0.6838910283
40	0.6838273532
41	0.6835774606
42	0.6835177031
43	0.6832222246
44	0.6831656763
45	0.6831104617
46	0.68294337
47	0.6826346451
48	0.6825516527
49	0.6822755122
50	0.6820896001
51	0.6820225691
52	0.6819789082
53	0.6819178212
54	0.6818560948
55	0.6817806444
56	0.6815299572
57	0.6814544366
58	0.6813886746
59	0.6813104606
60	0.6812743574
61	0.6811468304
62	0.6810965676
63	0.6808660399
64	0.6808095761
65	0.6807425501
66	0.6806367099
67	0.6805628273
68	0.6805077239
69	0.6804524253
70	0.6803598189
71	0.68026757
72	0.68010852
73	0.6800672032
74	0.679934874
75	0.6797200998
76	0.6796813381
77	0.6795411457
78	0.6795057342
79	0.6794442604
80	0.6793068548
81	0.6791279744
82	0.6790068304
83	0.6787661345
84	0.6787012671
85	0.6786351609
86	0.6784838604
87	0.6784260498
88	0.6783238209
89	0.6782876563
90	0.6781685277
91	0.6780055218
92	0.6779711098
93	0.6779203587
94	0.677877932
95	0.6776620735
96	0.6776302289
97	0.6774528575
98	0.6773822006
99	0.6772433491
100	0.6771362184
101	0.6770750721
102	0.6770162262
103	0.676953489
104	0.6767885816
105	0.6767542824
106	0.6766906073
107	0.6766497106
108	0.676481588
109	0.6764269053
110	0.6762581
111	0.6762179051
112	0.6761681002
113	0.6760068648
114	0.6758560443
115	0.6757424594
116	0.6756627228
117	0.6755949363
118	0.6755434018
119	0.675522157
120	0.6753908094
121	0.6753334222
122	0.675271929
123	0.6752251707
124	0.6751052328
125	0.6750652676
126	0.6749123834
127	0.6748577604
128	0.6747760421
129	0.6746337748
130	0.6745833575
131	0.674534624
132	0.6744080998
133	0.6743440418
134	0.674224737
135	0.6741775533
136	0.6741079838
137	0.674051542
138	0.6739861959
139	0.6739312103
140	0.6738240939
141	0.6737517096
142	0.6737078004
143	0.6735471219
144	0.6734956501
145	0.6733954507
146	0.6732530629
147	0.6732280493
148	0.6731484596
149	0.6730997556
150	0.6730382011
151	0.6729039635
152	0.6728419049
153	0.6727389193
154	0.6727015957
155	0.6726541342
156	0.6726090434
157	0.6725621643
158	0.6724701062
159	0.6723624228
160	0.6722992109
161	0.6721942556
162	0.6721150065
163	0.6720702442
164	0.6720082808
165	0.671973025
166	0.6718748091
167	0.6718087591
168	0.6717812031
169	0.6717236452
170	0.6716625253
171	0.6716125003
172	0.6715608203
173	0.6714784586
174	0.6714078748
175	0.6713592629
176	0.671313762
177	0.6712435754
178	0.6711859626
179	0.671103256
180	0.6710079714
181	0.6709574419
182	0.6708875061
183	0.6708312088
184	0.6707580564
185	0.6707055337
186	0.6706264148
187	0.6705444784
188	0.6704985596
189	0.6704298277
190	0.670350582
191	0.6702979414
192	0.6702246275
193	0.6701379171
194	0.6700721648
195	0.6700116598
196	0.669947127
197	0.6699069903
198	0.6698519991
199	0.6697794386
