iter	Passed	Remaining
0	13	2624
1	24	2414
2	37	2468
3	46	2282
4	58	2275
5	70	2287
6	80	2231
7	89	2154
8	99	2109
9	109	2084
10	120	2073
11	133	2096
12	147	2116
13	156	2081
14	171	2117
15	185	2134
16	198	2135
17	209	2115
18	219	2091
19	228	2053
20	239	2039
21	249	2021
22	261	2012
23	280	2058
24	295	2071
25	309	2068
26	319	2048
27	331	2033
28	341	2013
29	351	1992
30	362	1978
31	371	1951
32	381	1931
33	394	1927
34	403	1901
35	413	1884
36	422	1860
37	431	1839
38	442	1826
39	452	1811
40	467	1813
41	477	1798
42	488	1782
43	498	1766
44	510	1757
45	522	1749
46	535	1742
47	545	1728
48	557	1716
49	567	1703
50	578	1688
51	588	1675
52	599	1661
53	609	1648
54	620	1635
55	632	1626
56	643	1614
57	652	1596
58	663	1586
59	674	1573
60	686	1563
61	696	1550
62	708	1539
63	719	1528
64	729	1515
65	740	1503
66	753	1495
67	762	1479
68	771	1464
69	782	1452
70	792	1440
71	803	1428
72	812	1413
73	823	1402
74	834	1390
75	852	1390
76	871	1391
77	885	1384
78	896	1372
79	906	1360
80	916	1346
81	927	1333
82	937	1321
83	947	1308
84	958	1296
85	968	1283
86	979	1271
87	989	1259
88	1000	1247
89	1010	1235
90	1021	1223
91	1032	1211
92	1043	1200
93	1053	1188
94	1063	1175
95	1073	1162
96	1087	1154
97	1097	1142
98	1108	1131
99	1119	1119
100	1128	1106
101	1139	1094
102	1150	1083
103	1160	1071
104	1171	1059
105	1180	1046
106	1190	1034
107	1200	1022
108	1211	1011
109	1221	999
110	1231	987
111	1242	976
112	1252	964
113	1264	953
114	1274	942
115	1284	930
116	1296	919
117	1307	908
118	1319	897
119	1329	886
120	1338	873
121	1347	861
122	1357	849
123	1368	838
124	1379	827
125	1390	816
126	1400	805
127	1410	793
128	1420	781
129	1432	771
130	1445	761
131	1455	750
132	1467	739
133	1477	727
134	1488	716
135	1497	704
136	1508	693
137	1519	682
138	1529	671
139	1538	659
140	1549	648
141	1559	637
142	1568	625
143	1579	614
144	1588	602
145	1598	591
146	1607	579
147	1618	568
148	1630	557
149	1643	547
150	1664	540
151	1679	530
152	1690	519
153	1703	508
154	1715	498
155	1727	487
156	1744	477
157	1756	467
158	1772	457
159	1784	446
160	1796	435
161	1809	424
162	1823	413
163	1836	403
164	1852	392
165	1867	382
166	1881	371
167	1895	361
168	1918	351
169	1939	342
170	1952	331
171	1964	319
172	1980	309
173	1995	298
174	2007	286
175	2025	276
176	2050	266
177	2072	256
178	2094	245
179	2117	235
180	2140	224
181	2162	213
182	2187	203
183	2202	191
184	2221	180
185	2240	168
186	2258	157
187	2272	145
188	2289	133
189	2302	121
190	2316	109
191	2329	97
192	2340	84
193	2363	73
194	2378	60
195	2392	48
196	2409	36
197	2421	24
198	2433	12
199	2443	0
